name,cylinders,weight,year,territory,accelaration,mpg,horse_power,displacement
Chevrolet Chevette,4,2035,1970,USA,22.2,29.0,52.0,85.0
Chevrolet Woody,4,2164,1970,USA,22.1,24.5,60.0,98.0
Vw Rabbit,4,1937,1970,USA,14.2,29.0,70.0,90.0
Honda Civic,4,1795,1970,USA,17.4,33.0,53.0,91.0
Dodge Aspen Se,6,3651,1970,USA,17.7,20.0,100.0,225.0
Ford Granada Ghia,6,3574,1970,USA,21.0,18.0,78.0,250.0
Pontiac Ventura Sj,6,3645,1970,USA,16.2,18.5,110.0,250.0
Amc Pacer D/L,6,3193,1970,USA,17.8,17.5,95.0,258.0
Volkswagen Rabbit,4,1825,1970,USA,12.2,29.5,71.0,97.0
Datsun B-210,4,1990,1970,USA,17.0,32.0,70.0,85.0
Toyota Corolla,4,2155,1970,USA,16.4,28.0,75.0,97.0
Ford Pinto,4,2565,1970,USA,13.6,26.5,72.0,140.0
Volvo 245,4,3150,1970,USA,15.7,20.0,102.0,130.0
Plymouth Volare Premier V8,8,3940,1970,USA,13.2,13.0,150.0,318.0
Peugeot 504,4,3270,1970,USA,21.9,19.0,88.0,120.0
Toyota Mark Ii,6,2930,1970,USA,15.5,19.0,108.0,156.0
Mercedes-Benz 280S,6,3820,1970,USA,16.7,16.5,120.0,168.0
Cadillac Seville,8,4380,1970,USA,12.1,16.5,180.0,350.0
Chevy C10,8,4055,1970,USA,12.0,13.0,145.0,350.0
Ford F108,8,3870,1970,USA,15.0,13.0,130.0,302.0
Dodge D100,8,3755,1970,USA,14.0,13.0,150.0,318.0
Honda Accord Cvcc,4,2045,1970,USA,18.5,31.5,68.0,98.0
Buick Opel Isuzu Deluxe,4,2155,1970,USA,14.8,30.0,80.0,111.0
Renault 5 Gtl,4,1825,1970,USA,18.6,36.0,58.0,79.0
Plymouth Arrow Gs,4,2300,1970,USA,15.5,25.5,96.0,122.0
Datsun F-10 Hatchback,4,1945,1970,USA,16.8,33.5,70.0,85.0
Chevrolet Caprice Classic,8,3880,1970,USA,12.5,17.5,145.0,305.0
Oldsmobile Cutlass Supreme,8,4060,1970,USA,19.0,17.0,110.0,260.0
Dodge Monaco Brougham,8,4140,1970,USA,13.7,15.5,145.0,318.0
Mercury Cougar Brougham,8,4295,1970,USA,14.9,15.0,130.0,302.0
Chevrolet Concours,6,3520,1970,USA,16.4,17.5,110.0,250.0
Buick Skylark,6,3425,1970,USA,16.9,20.5,105.0,231.0
Plymouth Volare Custom,6,3630,1970,USA,17.7,19.0,100.0,225.0
Ford Granada,6,3525,1970,USA,19.0,18.5,98.0,250.0
Pontiac Grand Prix Lj,8,4220,1970,USA,11.1,16.0,180.0,400.0
Chevrolet Monte Carlo Landau,8,4165,1970,USA,11.4,15.5,170.0,350.0
Chrysler Cordoba,8,4325,1970,USA,12.2,15.5,190.0,400.0
Ford Thunderbird,8,4335,1970,USA,14.5,16.0,149.0,351.0
Volkswagen Rabbit Custom,4,1940,1970,USA,14.5,29.0,78.0,97.0
Pontiac Sunbird Coupe,4,2740,1970,USA,16.0,24.5,88.0,151.0
Toyota Corolla Liftback,4,2265,1970,USA,18.2,26.0,75.0,97.0
Ford Mustang Ii 2+2,4,2755,1970,USA,15.8,25.5,89.0,140.0
Chevrolet Chevette,4,2051,1970,USA,17.0,30.5,63.0,98.0
Dodge Colt M/M,4,2075,1970,USA,15.9,33.5,83.0,98.0
Subaru Dl,4,1985,1970,USA,16.4,30.0,67.0,97.0
Volkswagen Dasher,4,2190,1970,USA,14.1,30.5,78.0,97.0
Datsun 810,6,2815,1970,USA,14.5,22.0,97.0,146.0
Bmw 320I,4,2600,1970,USA,12.8,21.5,110.0,121.0
Mazda Rx-4,3,2720,1970,USA,13.5,21.5,110.0,80.0
Volkswagen Rabbit Custom Diesel,4,1985,1970,USA,21.5,43.1,48.0,90.0
Ford Fiesta,4,1800,1970,USA,14.4,36.1,66.0,98.0
Mazda Glc Deluxe,4,1985,1970,USA,19.4,32.8,52.0,78.0
Datsun B210 Gx,4,2070,1970,USA,18.6,39.4,70.0,85.0
Honda Civic Cvcc,4,1800,1970,USA,16.4,36.1,60.0,91.0
Oldsmobile Cutlass Salon Brougham,8,3365,1970,USA,15.5,19.9,110.0,260.0
Dodge Diplomat,8,3735,1970,USA,13.2,19.4,140.0,318.0
Mercury Monarch Ghia,8,3570,1970,USA,12.8,20.2,139.0,302.0
Pontiac Phoenix Lj,6,3535,1970,USA,19.2,19.2,105.0,231.0
Chevrolet Malibu,6,3155,1970,USA,18.2,20.5,95.0,200.0
Ford Fairmont (Auto),6,2965,1970,USA,15.8,20.2,85.0,200.0
Ford Fairmont (Man),4,2720,1970,USA,15.4,25.1,88.0,140.0
Plymouth Volare,6,3430,1970,USA,17.2,20.5,100.0,225.0
Amc Concord,6,3210,1970,USA,17.2,19.4,90.0,232.0
Buick Century Special,6,3380,1970,USA,15.8,20.6,105.0,231.0
Mercury Zephyr,6,3070,1970,USA,16.7,20.8,85.0,200.0
Dodge Aspen,6,3620,1970,USA,18.7,18.6,110.0,225.0
Amc Concord D/L,6,3410,1970,USA,15.1,18.1,120.0,258.0
Chevrolet Monte Carlo Landau,8,3425,1970,USA,13.2,19.2,145.0,305.0
Buick Regal Sport Coupe (Turbo),6,3445,1970,USA,13.4,17.7,165.0,231.0
Ford Futura,8,3205,1970,USA,11.2,18.1,139.0,302.0
Dodge Magnum Xe,8,4080,1970,USA,13.7,17.5,140.0,318.0
Chevrolet Chevette,4,2155,1970,USA,16.5,30.0,68.0,98.0
Toyota Corona,4,2560,1970,USA,14.2,27.5,95.0,134.0
Datsun 510,4,2300,1970,USA,14.7,27.2,97.0,119.0
Dodge Omni,4,2230,1970,USA,14.5,30.9,75.0,105.0
Toyota Celica Gt Liftback,4,2515,1970,USA,14.8,21.1,95.0,134.0
Plymouth Sapporo,4,2745,1970,USA,16.7,23.2,105.0,156.0
Oldsmobile Starfire Sx,4,2855,1970,USA,17.6,23.8,85.0,151.0
Datsun 200-Sx,4,2405,1970,USA,14.9,23.9,97.0,119.0
Audi 5000,5,2830,1970,USA,15.9,20.3,103.0,131.0
Volvo 264Gl,6,3140,1970,USA,13.6,17.0,125.0,163.0
Saab 99Gle,4,2795,1970,USA,15.7,21.6,115.0,121.0
Peugeot 604Sl,6,3410,1970,USA,15.8,16.2,133.0,163.0
Volkswagen Scirocco,4,1990,1970,USA,14.9,31.5,71.0,89.0
Honda Accord Lx,4,2135,1970,USA,16.6,29.5,68.0,98.0
Pontiac Lemans V6,6,3245,1970,USA,15.4,21.5,115.0,231.0
Mercury Zephyr 6,6,2990,1970,USA,18.2,19.8,85.0,200.0
Ford Fairmont 4,4,2890,1970,USA,17.3,22.3,88.0,140.0
Amc Concord Dl 6,6,3265,1970,USA,18.2,20.2,90.0,232.0
Dodge Aspen 6,6,3360,1970,USA,16.6,20.6,110.0,225.0
Chevrolet Caprice Classic,8,3840,1970,USA,15.4,17.0,130.0,305.0
Ford Ltd Landau,8,3725,1970,USA,13.4,17.6,129.0,302.0
Mercury Grand Marquis,8,3955,1970,USA,13.2,16.5,138.0,351.0
Dodge St. Regis,8,3830,1970,USA,15.2,18.2,135.0,318.0
Buick Estate Wagon (Sw),8,4360,1970,USA,14.9,16.9,155.0,350.0
Ford Country Squire (Sw),8,4054,1970,USA,14.3,15.5,142.0,351.0
Chevrolet Malibu Classic (Sw),8,3605,1970,USA,15.0,19.2,125.0,267.0
Chrysler Lebaron Town @ Country (Sw),8,3940,1970,USA,13.0,18.5,150.0,360.0
Vw Rabbit Custom,4,1925,1970,USA,14.0,31.9,71.0,89.0
Maxda Glc Deluxe,4,1975,1970,USA,15.2,34.1,65.0,86.0
Dodge Colt Hatchback Custom,4,1915,1970,USA,14.4,35.7,80.0,98.0
Amc Spirit Dl,4,2670,1970,USA,15.0,27.4,80.0,121.0
Mercedes Benz 300D,5,3530,1970,USA,20.1,25.4,77.0,183.0
Cadillac Eldorado,8,3900,1970,USA,17.4,23.0,125.0,350.0
Peugeot 504,4,3190,1970,USA,24.8,27.2,71.0,141.0
Oldsmobile Cutlass Salon Brougham,8,3420,1970,USA,22.2,23.9,90.0,260.0
Plymouth Horizon,4,2200,1970,USA,13.2,34.2,70.0,105.0
Plymouth Horizon Tc3,4,2150,1970,USA,14.9,34.5,70.0,105.0
Datsun 210,4,2020,1970,USA,19.2,31.8,65.0,85.0
Fiat Strada Custom,4,2130,1970,USA,14.7,37.3,69.0,91.0
Buick Skylark Limited,4,2670,1970,USA,16.0,28.4,90.0,151.0
Chevrolet Citation,6,2595,1970,USA,11.3,28.8,115.0,173.0
Oldsmobile Omega Brougham,6,2700,1970,USA,12.9,26.8,115.0,173.0
Pontiac Phoenix,4,2556,1970,USA,13.2,33.5,90.0,151.0
Vw Rabbit,4,2144,1970,USA,14.7,41.5,76.0,98.0
Toyota Corolla Tercel,4,1968,1970,USA,18.8,38.1,60.0,89.0
Chevrolet Chevette,4,2120,1970,USA,15.5,32.1,70.0,98.0
Datsun 310,4,2019,1970,USA,16.4,37.2,65.0,86.0
Chevrolet Citation,4,2678,1970,USA,16.5,28.0,90.0,151.0
Ford Fairmont,4,2870,1970,USA,18.1,26.4,88.0,140.0
Amc Concord,4,3003,1970,USA,20.1,24.3,90.0,151.0
Dodge Aspen,6,3381,1970,USA,18.7,19.1,90.0,225.0
Audi 4000,4,2188,1970,USA,15.8,34.3,78.0,97.0
Toyota Corona Liftback,4,2711,1970,USA,15.5,29.8,90.0,134.0
Mazda 626,4,2542,1970,USA,17.5,31.3,75.0,120.0
Datsun 510 Hatchback,4,2434,1970,USA,15.0,37.0,92.0,119.0
Toyota Corolla,4,2265,1970,USA,15.2,32.2,75.0,108.0
Mazda Glc,4,2110,1970,USA,17.9,46.6,65.0,86.0
Dodge Colt,4,2800,1970,USA,14.4,27.9,105.0,156.0
Datsun 210,4,2110,1970,USA,19.2,40.8,65.0,85.0
Vw Rabbit C (Diesel),4,2085,1970,USA,21.7,44.3,48.0,90.0
Vw Dasher (Diesel),4,2335,1970,USA,23.7,43.4,48.0,90.0
Audi 5000S (Diesel),5,2950,1970,USA,19.9,36.4,67.0,121.0
Mercedes-Benz 240D,4,3250,1970,USA,21.8,30.0,67.0,146.0
Honda Civic 1500 Gl,4,1850,1970,USA,13.8,44.6,67.0,91.0
Renault Lecar Deluxe,4,1835,1970,USA,17.3,40.9,NULL,85.0
Subaru Dl,4,2145,1970,USA,18.0,33.8,67.0,97.0
Vokswagen Rabbit,4,1845,1970,USA,15.3,29.8,62.0,89.0
Datsun 280-Zx,6,2910,1970,USA,11.4,32.7,132.0,168.0
Mazda Rx-7 Gs,3,2420,1970,USA,12.5,23.7,100.0,70.0
Triumph Tr7 Coupe,4,2500,1970,USA,15.1,35.0,88.0,122.0
Ford Mustang Cobra,4,2905,1970,USA,14.3,23.6,NULL,140.0
Honda Accord,4,2290,1970,USA,17.0,32.4,72.0,107.0
Plymouth Reliant,4,2490,1970,USA,15.7,27.2,84.0,135.0
Buick Skylark,4,2635,1970,USA,16.4,26.6,84.0,151.0
Dodge Aries Wagon (Sw),4,2620,1970,USA,14.4,25.8,92.0,156.0
Chevrolet Citation,6,2725,1970,USA,12.6,23.5,110.0,173.0
Plymouth Reliant,4,2385,1970,USA,12.9,30.0,84.0,135.0
Toyota Starlet,4,1755,1970,USA,16.9,39.1,58.0,79.0
Plymouth Champ,4,1875,1970,USA,16.4,39.0,64.0,86.0
Honda Civic 1300,4,1760,1970,USA,16.1,35.1,60.0,81.0
Subaru,4,2065,1970,USA,17.8,32.3,67.0,97.0
Datsun 210 Mpg,4,1975,1970,USA,19.4,37.0,65.0,85.0
Toyota Tercel,4,2050,1970,USA,17.3,37.7,62.0,89.0
Mazda Glc 4,4,1985,1970,USA,16.0,34.1,68.0,91.0
Plymouth Horizon 4,4,2215,1970,USA,14.9,34.7,63.0,105.0
Ford Escort 4W,4,2045,1970,USA,16.2,34.4,65.0,98.0
Ford Escort 2H,4,2380,1970,USA,20.7,29.9,65.0,98.0
Volkswagen Jetta,4,2190,1970,USA,14.2,33.0,74.0,105.0
Renault 18I,4,2320,1970,USA,15.8,34.5,NULL,100.0
Honda Prelude,4,2210,1970,USA,14.4,33.7,75.0,107.0
Toyota Corolla,4,2350,1970,USA,16.8,32.4,75.0,108.0
Datsun 200Sx,4,2615,1970,USA,14.8,32.9,100.0,119.0
Mazda 626,4,2635,1970,USA,18.3,31.6,74.0,120.0
Peugeot 505S Turbo Diesel,4,3230,1970,USA,20.4,28.1,80.0,141.0
Saab 900S,4,2800,1970,USA,15.4,NULL,110.0,121.0
Volvo Diesel,6,3160,1970,USA,19.6,30.7,76.0,145.0
Toyota Cressida,6,2900,1970,USA,12.6,25.4,116.0,168.0
Datsun 810 Maxima,6,2930,1970,USA,13.8,24.2,120.0,146.0
Buick Century,6,3415,1970,USA,15.8,22.4,110.0,231.0
Oldsmobile Cutlass Ls,8,3725,1970,USA,19.0,26.6,105.0,350.0
Ford Granada Gl,6,3060,1970,USA,17.1,20.2,88.0,200.0
Chrysler Lebaron Salon,6,3465,1970,USA,16.6,17.6,85.0,225.0
Chevrolet Cavalier,4,2605,1970,USA,19.6,28.0,88.0,112.0
Chevrolet Cavalier Wagon,4,2640,1970,USA,18.6,27.0,88.0,112.0
Chevrolet Cavalier 2-Door,4,2395,1970,USA,18.0,34.0,88.0,112.0
Pontiac J2000 Se Hatchback,4,2575,1970,USA,16.2,31.0,85.0,112.0
Dodge Aries Se,4,2525,1970,USA,16.0,29.0,84.0,135.0
Pontiac Phoenix,4,2735,1970,USA,18.0,27.0,90.0,151.0
Ford Fairmont Futura,4,2865,1970,USA,16.4,24.0,92.0,140.0
Amc Concord Dl,4,3035,1970,USA,20.5,23.0,NULL,151.0
Volkswagen Rabbit L,4,1980,1970,USA,15.3,36.0,74.0,105.0
Mazda Glc Custom L,4,2025,1970,USA,18.2,37.0,68.0,91.0
Mazda Glc Custom,4,1970,1970,USA,17.6,31.0,68.0,91.0
Plymouth Horizon Miser,4,2125,1970,USA,14.7,38.0,63.0,105.0
Mercury Lynx L,4,2125,1970,USA,17.3,36.0,70.0,98.0
Nissan Stanza Xe,4,2160,1970,USA,14.5,36.0,88.0,120.0
Honda Accord,4,2205,1970,USA,14.5,36.0,75.0,107.0
Toyota Corolla,4,2245,1970,USA,16.9,34.0,70.0,108.0
Honda Civic,4,1965,1970,USA,15.0,38.0,67.0,91.0
Honda Civic (Auto),4,1965,1970,USA,15.7,32.0,67.0,91.0
Datsun 310 Gx,4,1995,1970,USA,16.2,38.0,67.0,91.0
Buick Century Limited,6,2945,1970,USA,16.4,25.0,110.0,181.0
Oldsmobile Cutlass Ciera (Diesel),6,3015,1970,USA,17.0,38.0,85.0,262.0
Chrysler Lebaron Medallion,4,2585,1970,USA,14.5,26.0,92.0,156.0
Ford Granada L,6,2835,1970,USA,14.7,22.0,112.0,232.0
Toyota Celica Gt,4,2665,1970,USA,13.9,32.0,96.0,144.0
Dodge Charger 2.2,4,2370,1970,USA,13.0,36.0,84.0,135.0
Chevrolet Camaro,4,2950,1970,USA,17.3,27.0,90.0,151.0
Ford Mustang Gl,4,2790,1970,USA,15.6,27.0,86.0,140.0
Vw Pickup,4,2130,1970,USA,24.6,44.0,52.0,97.0
Dodge Rampage,4,2295,1970,USA,11.6,32.0,84.0,135.0
Ford Ranger,4,2625,1970,USA,18.6,28.0,79.0,120.0
Chevy S-10,4,2720,1970,USA,19.4,31.0,82.0,119.0
